Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
1973,562,13,13098,Saint-Mitre-les-Remparts,1973-03-03 16:20:00,30000,14100,14400,0,,,,,,1500,,1.0,Accidentelle,,,,,
1973,1902,83,83029,Callian,1973-03-03 16:21:00,80000,37600,38400,0,,,,,,4000,,5.0,Malveillance,,,,,
1973,32,06,06046,Colomars,1973-03-03 18:20:00,20000,9400,9600,0,,,,,,1000,,5.0,,,,,,
1973,1655,34,34119,Hérépian,1973-03-03 18:30:00,24000,11280,11520,0,,,,,,1200,,1.0,,,,,,
1973,1657,34,34055,Castanet-le-Haut,1973-03-04 11:20:00,25000,11750,12000,0,,,,,,1250,,1.0,,,,,,
1973,42,06,06035,Castellar,1973-03-04 11:25:00,540000,253800,259200,0,,,,,,27000,,3.0,Naturelle,,,,,
1973,1903,83,83023,Brignoles,1973-03-04 11:30:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,1904,83,83076,Mazaugues,1973-03-04 12:00:00,20000,9400,9600,0,,,,,,1000,,5.0,Involontaire (particulier),,,,,
1973,2262,84,84020,Bonnieux,1973-03-04 12:15:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1905,83,83080,Mons,1973-03-04 12:30:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,39,06,06138,Théoule-sur-Mer,1973-03-04 12:30:00,1000,470,480,0,,,,,,50,,,,,,,,
1973,25,06,06134,Séranon,1973-03-04 12:57:00,200000,94000,96000,0,,,,,,10000,,1.0,Involontaire (travaux),,,,,
1973,2261,84,84051,Goult,1973-03-04 14:00:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (particulier),,,,,
1973,26,06,06091,Peille,1973-03-04 14:35:00,1500000,705000,720000,0,,,,,,75000,,1.0,,,,,,
1973,1661,34,34200,Pézènes-les-Mines,1973-03-04 15:15:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1688,34,34200,Pézènes-les-Mines,1973-03-04 15:15:00,20000,9400,9600,0,,,,,,1000,,1.0,Malveillance,,,,,
1973,19,06,06117,Saint-Blaise,1973-03-04 15:48:00,100000,47000,48000,0,,,,,,5000,,1.0,,,,,,
1973,18,06,06088,Nice,1973-03-04 15:55:00,60000,28200,28800,0,,,,,,3000,,5.0,,,,,,
1973,1653,34,34144,Lunas,1973-03-04 16:00:00,50000,23500,24000,0,,,,,,2500,,1.0,Involontaire (travaux),,,,,
1973,1656,34,34119,Hérépian,1973-03-04 16:20:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1658,34,34260,Saint-Gervais-sur-Mare,1973-03-04 16:30:00,120000,56400,57600,0,,,,,,6000,,1.0,,,,,,
1973,1100,2B,2B193,Omessa,1973-03-04 16:30:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,1664,34,34326,Vélieux,1973-03-04 17:00:00,50000,23500,24000,0,,,,,,2500,,1.0,,,,,,
1973,1662,34,34200,Pézènes-les-Mines,1973-03-04 18:30:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,1689,34,34200,Pézènes-les-Mines,1973-03-04 18:30:00,10000,4700,4800,0,,,,,,500,,1.0,Malveillance,,,,,
1973,1906,83,83007,Aups,1973-03-04 19:00:00,1000,470,480,0,,,,,,50,,1.0,Involontaire (travaux),,,,,
1973,27,06,06043,Coaraze,1973-03-04 22:13:00,20000,9400,9600,0,,,,,,1000,,5.0,,,,,,
1973,30,06,06058,Escragnolles,1973-03-05 14:00:00,40000,18800,19200,0,,,,,,2000,,1.0,,,,,,
1973,1663,34,34096,Faugères,1973-03-06 12:05:00,30000,14100,14400,0,,,,,,1500,,1.0,,,,,,
1973,1690,34,34096,Faugères,1973-03-06 12:05:00,30000,14100,14400,0,,,,,,1500,,1.0,Malveillance,,,,,
1973,2258,84,84042,Cucuron,1973-03-06 13:30:00,15000,7050,7200,0,,,,,,750,,1.0,Involontaire (particulier),,,,,
1973,1910,83,83028,Callas,1973-03-06 14:30:00,10000,4700,4800,0,,,,,,500,,,Involontaire (travaux),,,,,
1973,1676,34,34117,Graissessac,1973-03-06 15:15:00,40000,18800,19200,0,,,,,,2000,,1.0,,,,,,
1973,1691,34,34117,Graissessac,1973-03-06 15:15:00,40000,18800,19200,0,,,,,,2000,,1.0,Malveillance,,,,,
1973,2259,84,84012,Beaumes-de-Venise,1973-03-06 16:00:00,2000,940,960,0,,,,,,100,,1.0,Involontaire (travaux),,,,,
1973,1671,34,34096,Faugères,1973-03-06 18:15:00,20000,9400,9600,0,,,,,,1000,,1.0,Malveillance,,,,,
1973,1908,83,83064,Garéoult,1973-03-06 19:03:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1672,34,34096,Faugères,1973-03-06 20:00:00,250000,117500,120000,0,,,,,,12500,,1.0,Malveillance,,,,,
1973,1911,83,83070,Le Lavandou,1973-03-07 03:20:00,1000,470,480,0,,,,,,50,,1.0,Involontaire (travaux),,,,,
1973,1912,83,83141,Trans-en-Provence,1973-03-07 10:20:00,3000,1410,1440,0,,,,,,150,,5.0,Accidentelle,,,,,
1973,1913,83,83131,Solliès-Toucas,1973-03-07 11:06:00,50000,23500,24000,0,,,,,,2500,,1.0,Accidentelle,,,,,
1973,1914,83,83072,Lorgues,1973-03-07 12:10:00,1000,470,480,0,,,,,,50,,,Involontaire (particulier),,,,,
1973,2260,84,84019,Bollène,1973-03-07 13:00:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,563,13,13109,Le Tholonet,1973-03-07 13:55:00,120000,56400,57600,0,,,,,,6000,,1.0,Involontaire (travaux),,,,,
1973,1102,2A,2A004,Ajaccio,1973-03-07 14:55:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,1665,34,34169,Montferrier-sur-Lez,1973-03-07 15:30:00,1500000,705000,720000,0,,,,,,75000,,5.0,,,,,,
1973,1677,34,34096,Faugères,1973-03-07 21:20:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1692,34,34096,Faugères,1973-03-07 21:20:00,20000,9400,9600,0,,,,,,1000,,1.0,Malveillance,,,,,
1973,31,06,06088,Nice,1973-03-08 11:00:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1915,83,83072,Lorgues,1973-03-08 12:15:00,20000,9400,9600,0,,,,,,1000,,5.0,Involontaire (travaux),,,,,
1973,33,06,06069,Grasse,1973-03-08 12:30:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,29,06,06088,Nice,1973-03-08 13:15:00,25000,11750,12000,0,,,,,,1250,,4.0,,,,,,
1973,1916,83,83087,Nans-les-Pins,1973-03-08 14:00:00,6000,2820,2880,0,,,,,,300,,1.0,Accidentelle,,,,,
1973,1917,83,83111,Sainte-Anastasie-sur-Issole,1973-03-08 14:20:00,1000,470,480,0,,,,,,50,,1.0,Involontaire (travaux),,,,,
1973,564,13,13032,Éguilles,1973-03-08 15:36:00,50000,23500,24000,0,,,,,,2500,,1.0,Involontaire (travaux),,,,,
1973,1929,83,83077,Méounes-lès-Montrieux,1973-03-08 16:00:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1918,83,83091,Pierrefeu-du-Var,1973-03-08 16:20:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,69,06,06140,Le Tignet,1973-03-08 18:40:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1919,83,83068,Grimaud,1973-03-09 11:15:00,30000,14100,14400,0,,,,,,1500,,4.0,,,,,,
1973,40,06,06088,Nice,1973-03-09 13:00:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,565,13,13001,Aix-en-Provence,1973-03-09 14:19:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,566,13,13110,Trets,1973-03-09 14:30:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
